INPUT：


(ER,1,0)
(ER,1,2)
(ER,2,4)
(ER,3,6)
(ER,4,8)
(ER,5,10)
(ER,6,12)
(ER,7,14)
(ER,8,16)
(ER,9,18)
(ER,3,20)
(ER,1,22)
(ER,2,24)
(ER,3,26)
(ER,4,28)
(ER,5,30)
(ER,6,32)
(ER,7,34)
(ER,8,36)
(ER,9,38)
(ER,3,40)
(ER,1,42)
(ER,2,44)
(ER,3,46)
(ER,4,48)
(ER,5,50)
(ER,6,52)
(ER,7,54)
(ER,8,56)
(ER,9,58)
(ER,3,60)
(ER,1,62)
(ER,2,64)
(ER,3,66)
(ER,4,68)
(ER,5,70)
(ER,6,72)
(ER,7,74)
(ER,8,76)
(ER,9,78)
(ER,3,80)
(ER,1,82)
(ER,2,84)
(ER,3,86)
(ER,4,88)
(ER,5,90)
(ER,6,92)
(ER,7,94)
(ER,8,96)
(ER,9,98)
(ER,3,100)
(ER,1,102)
(ER,2,104)
(ER,3,106)
(ER,4,108)
(ER,5,110)
(ER,6,112)
(ER,7,114)
(ER,8,116)
(ER,9,118)
(ER,3,120)
(ER,1,122)
(ER,2,124)
(ER,3,126)
(ER,4,128)
(ER,5,130)
(ER,6,132)
(ER,7,134)
(ER,8,136)
(ER,9,138)
(ER,3,140)
(ER,1,142)
(ER,2,144)
(ER,3,146)
(ER,4,148)
(ER,5,150)
(ER,6,152)
(ER,7,154)
(ER,8,156)
(ER,9,158)
(ER,3,160)
(ER,1,162)
(ER,2,164)
(ER,3,166)
(ER,4,168)
(ER,5,170)
(ER,6,172)
(ER,7,174)
(ER,8,176)
(ER,9,178)
(ER,3,180)
(ER,1,182)
(ER,2,184)
(ER,3,186)
(ER,4,188)
(ER,5,190)
(ER,6,192)
(ER,7,194)
(ER,8,196)
(ER,9,198)
(ER,3,200)

OUTPUT:

#输入大于100行，不等待RUN并进行运算
(1,STILL,1.0)
(1,STILL,3.0)
(2,UP,4.5)
(3,UP,6.5)
(4,UP,8.5)
(5,UP,10.5)
(6,UP,12.5)
(7,UP,14.5)
(8,UP,16.5)
(9,UP,18.5)
(3,DOWN,23.0)
(1,DOWN,25.0)
(2,UP,26.5)
(3,UP,28.0)
(4,UP,29.5)
(5,UP,31.0)
(6,UP,32.5)
(7,UP,34.5)
(8,UP,36.5)
(9,UP,38.5)
(3,DOWN,43.0)
(1,DOWN,45.0)
(2,UP,46.5)
(3,UP,48.0)
(4,UP,49.5)
(5,UP,51.0)
(6,UP,52.5)
(7,UP,54.5)
(8,UP,56.5)
(9,UP,58.5)
(3,DOWN,63.0)
(1,DOWN,65.0)
(2,UP,66.5)
(3,UP,68.0)
(4,UP,69.5)
(5,UP,71.0)
(6,UP,72.5)
(7,UP,74.5)
(8,UP,76.5)
(9,UP,78.5)
(3,DOWN,83.0)
(1,DOWN,85.0)
(2,UP,86.5)
(3,UP,88.0)
(4,UP,89.5)
(5,UP,91.0)
(6,UP,92.5)
(7,UP,94.5)
(8,UP,96.5)
(9,UP,98.5)
(3,DOWN,103.0)
(1,DOWN,105.0)
(2,UP,106.5)
(3,UP,108.0)
(4,UP,109.5)
(5,UP,111.0)
(6,UP,112.5)
(7,UP,114.5)
(8,UP,116.5)
(9,UP,118.5)
(3,DOWN,123.0)
(1,DOWN,125.0)
(2,UP,126.5)
(3,UP,128.0)
(4,UP,129.5)
(5,UP,131.0)
(6,UP,132.5)
(7,UP,134.5)
(8,UP,136.5)
(9,UP,138.5)
(3,DOWN,143.0)
(1,DOWN,145.0)
(2,UP,146.5)
(3,UP,148.0)
(4,UP,149.5)
(5,UP,151.0)
(6,UP,152.5)
(7,UP,154.5)
(8,UP,156.5)
(9,UP,158.5)
(3,DOWN,163.0)
(1,DOWN,165.0)
(2,UP,166.5)
(3,UP,168.0)
(4,UP,169.5)
(5,UP,171.0)
(6,UP,172.5)
(7,UP,174.5)
(8,UP,176.5)
(9,UP,178.5)
(3,DOWN,183.0)
(1,DOWN,185.0)
(2,UP,186.5)
(3,UP,188.0)
(4,UP,189.5)
(5,UP,191.0)
(6,UP,192.5)
(7,UP,194.5)
(8,UP,196.5)
(9,UP,198.5)
(3,DOWN,203.0)
